month,site,households,food_weight
2026-01,Northside,410,4110
2026-01,Riverside,300,2912
2026-01,Eastgate,190,1982
2026-02,Northside,402,4030
2026-02,Riverside,296,2873
2026-02,Eastgate,185,1930
2026-03,Northside,431,4321
2026-03,Riverside,318,3087
2026-03,Eastgate,201,2097
2026-04,Northside,445,4461
2026-04,Riverside,322,3126
2026-04,Eastgate,198,2066
2026-05,Northside,452,4531
2026-05,Riverside,330,3203
2026-05,Eastgate,204,2128
2026-06,Northside,470,4712
2026-06,Riverside,512,4970
2026-07,Northside,488,4978
2026-07,Riverside,530,5141
2026-08,Northside,501,5110
2026-08,Riverside,547,5306
2026-08,Mobile van,38,400
