month,site,households,food_weight
2026-01,Northside,410,9061
2026-01,Riverside,300,6420
2026-01,Eastgate,190,4370
2026-02,Northside,402,8884
2026-02,Riverside,296,6334
2026-02,Eastgate,185,4255
2026-03,Northside,431,9525
2026-03,Riverside,318,6805
2026-03,Eastgate,201,4623
2026-04,Northside,445,9834
2026-04,Riverside,322,6891
2026-04,Eastgate,198,4554
2026-05,Northside,452,9989
2026-05,Riverside,330,7062
2026-05,Eastgate,204,4692
2026-06,Northside,470,10387
2026-06,Riverside,512,10957
2026-06,Eastgate,204,4692
2026-07,Northside,488,4978
2026-07,Riverside,530,5141
2026-08,Northside,501,5110
2026-08,Riverside,547,5306
2026-08,Mobile van,0,400
