source_path,bytes,received_at,lang
drop/2026-09-21/arxiv_2409_01122.txt,48211,2026-09-21T03:14:09Z,en
drop/2026-09-21/arxiv_2409_01187.txt,51390,2026-09-21T03:14:40Z,en
drop/2026-09-21/pmc_11820044.txt,120775,2026-09-21T04:02:11Z,en
drop/2026-09-22/arxiv_2409_01203.txt,39802,2026-09-22T03:10:57Z,en
drop/2026-09-22/hal_04711983.txt,66310,2026-09-22T03:55:30Z,fr
drop/2026-09-22/pmc_11820107.txt,84096,2026-09-22T04:01:48Z,en
drop/2026-09-23/arxiv_2409_01259.txt,45127,2026-09-23T03:12:05Z,en
drop/2026-09-23/arxiv_2409_01261.txt,50884,2026-09-23T03:12:31Z,en
drop/2026-09-23/pmc_11820150.txt,98412,2026-09-23T04:03:19Z,en
drop/2026-09-24/arxiv_2409_01297.txt,47305,2026-09-24T03:11:44Z,en
drop/2026-09-24/cnki_2026_0931.txt,72950,2026-09-24T03:40:02Z,zh
drop/2026-09-24/arxiv_2409_01318.txt,43760,2026-09-24T03:13:26Z,en
